SITE_CODE,LAUNCH_SITE
"AFETR","AIR FORCE EASTERN TEST RANGE"
"AFWTR","AIR FORCE WESTERN TEST RANGE"
"CAS","Pegasus launched from Canary Islands Air Space"
"FRGUI","FRENCH GUIANA"
"HGSTR","HAMMA GUIRA SPACE TRACK RANGE"
"KSCUT","KAGOSHIMA SPACE CENTER UNIVERSITY OF TOKYO"
"KYMTR","KAPUSTIN YAR MISSILE AND SPACE COMPLEX"
"PKMTR","PLESETSK MISSILE AND SPACE COMPLEX"
"WSC","Wenchang Satellite Launch Center"
"SNMLP","SAN MARCO LAUNCH PLATFORM"
"SRI","SIRHARIKOTA"
"TNSTA","TANEGASHIMA SPACE CENTER"
"TTMTR","TYURATAM MISSILE AND SPACE COMPLEX"
"WLPIS","WALLOPS ISLAND"
"WOMRA","WOOMERA"
"VOSTO","VOSTOCHNY COSMODROME"
"PMRF","Pacific Missile Range Facility"
"SEAL","SEA LAUNCH"
"KWAJL","Kwajalein"
"ERAS","Pegasus launched from Eastern Range Air Space"
"JSC","Jiuquan Satellite Launch Center, China"
"SVOB","Svobodny, Russia"
"UNKN","Unknown"
"TSC","Taiyaun Space Center, China"
"WRAS","Pegasus launched from Western Range Air Space"
"XSC","Xichang Space Center, China"
"YAVNE","Yavne, Israel"
"OREN","Orenburg, Russia"
"SADOL","Submarine Launch from Barents Sea, Russia"
"KODAK","Kodiak Island, Alaska"
"SEM","Semnan, Iran"
"YUN","Yunsong, DPRK"
"NSC","Naro Space Center, South Korea"
"RLLC","Rocket Lab Launch Complex"
